product,brand,category,calories,protein,sugar,fat,fiber
Sütaş Tam Yağlı Yoğurt 3kg,Sütaş,Dairy,62,3.5,4.7,3,0
Sütaş Light Yoğurt 1kg,Sütaş,Dairy,45,4,4.5,1,0
Sütaş Laktozsuz Süt 1L,Sütaş,Dairy,48,3.2,4.8,1.5,0
İçim Protein Yoğurt 500g,İçim,Dairy,60,10,3.5,0.5,0
İçim Light Yoğurt 1kg,İçim,Dairy,42,4,4.8,0.8,0
İçim Süt Yarım Yağlı 1L,İçim,Dairy,47,3.2,4.7,1.2,0
Pınar Süt Yağsız 1L,Pınar,Dairy,34,3.4,5,0.1,0
Pınar Protein Süt Çikolatalı 500ml,Pınar,Dairy,55,10,4.8,0.8,0
Danone Activia Probiyotik Yoğurt 4x100g,Activia,Dairy,80,4.3,11,2.4,0
Danone Activia Light Yoğurt 4x100g,Activia,Dairy,55,4,6,1.5,0
Yörsan Tam Yağlı Yoğurt 2kg,Yörsan,Dairy,61,3.4,4.6,3,0
Yörsan Light Yoğurt 1kg,Yörsan,Dairy,45,4.1,4.8,1,0
SEK Kefir Doğal 1L,SEK,Dairy,60,3.5,4.5,3,0
SEK Light Kefir 1L,SEK,Dairy,45,3.5,3.5,1,0
Torku Yoğurt Kaymaksız 1.5kg,Torku,Dairy,58,3.4,4.4,2.8,0
Torku Protein Yoğurt 500g,Torku,Dairy,65,11,4,1,0
Mis Yoğurt Light 1kg,Mis,Dairy,43,4,4.5,0.8,0
Sütaş Kaymaksız Yoğurt 1.5kg,Sütaş,Dairy,60,3.5,4.6,3,0
İçim Laktozsuz Light Süt 1L,İçim,Dairy,40,3.4,4.9,0.5,0
Pınar Laktozsuz Light Süt 1L,Pınar,Dairy,39,3.4,4.9,0.5,0
Nestlé Nesfit Tam Tahıllı Gevrek 300g,Nestlé,Cereals,370,11,18,3,6
Nestlé Nesfit Ballı Bademli 300g,Nestlé,Cereals,380,9,20,4,5
Eti Lifalif Yulaf Ezmesi 500g,Eti,Cereals,370,13,1,7,10
